tgl,lat,lon,depth,mag,remark
1/1/2021,0.3,126.62,58,3.1,Northern Molucca Sea
1/1/2021,-9.25,119.44,29,2.5,Sumba Region - Indonesia
1/1/2021,2.25,127.29,38,3.8,Northern Molucca Sea
1/1/2021,-7.58,128.67,197,4.2,Banda Sea
1/1/2021,-8.9,119.04,69,2.8,Flores Region - Indonesia
1/1/2021,-9.78,120.66,16,3.0,Sumba Region - Indonesia
1/1/2021,-2.76,130.52,10,3.3,Seram - Indonesia
1/1/2021,-9.69,119.83,50,2.9,Sumba Region - Indonesia
1/1/2021,-9.14,119.06,53,3.3,Sumba Region - Indonesia
1/1/2021,-0.22,124.45,10,4.7,Southern Molucca Sea
1/1/2021,-3.1,131.81,30,3.6,Irian Jaya Region - Indonesia
