tgl,lat,lon,depth,mag,remark
1/1/2020,-6.54,132.81,10,4.4,Tanimbar Islands Reg. - Indonesia
1/1/2020,-6.27,104.13,17,3.1,Sunda Strait - Indonesia
1/1/2020,-2.13,127.93,72,3.9,Ceram Sea
1/1/2020,1.48,126.42,10,3.5,Northern Molucca Sea
1/1/2020,-9.75,112.98,10,3.9,South of Java - Indonesia
1/1/2020,0.67,120.41,14,2.7,Minahassa Peninsula - Sulawesi
1/1/2020,-3.34,128.72,10,3.1,Seram - Indonesia
1/1/2020,-3.53,128.25,10,2.2,Seram - Indonesia
1/1/2020,1.98,126.63,10,4.1,Northern Molucca Sea
1/1/2020,-6.9,107.33,181,3.5,Java - Indonesia
1/1/2020,-2.52,138.98,73,3.5,Irian Jaya - Indonesia
1/1/2020,-3.41,128.34,10,3.2,Seram - Indonesia
1/1/2020,0.47,121.83,131,4.1,Minahassa Peninsula - Sulawesi
1/1/2020,-3.36,128.38,10,3.4,Seram - Indonesia
1/1/2020,2.17,97.78,25,2.7,Northern Sumatra - Indonesia
1/1/2020,-6.68,129.86,212,5.0,Banda Sea
1/1/2020,-9.25,121.25,92,3.5,Savu Sea
1/1/2020,2.06,126.65,10,4.1,Northern Molucca Sea
1/1/2020,-3.39,128.38,10,2.3,Seram - Indonesia
1/1/2020,-2.73,127.9,17,3.3,Ceram Sea
1/2/2020,2.64,128.42,10,4.0,Halmahera - Indonesia
1/2/2020,-2.64,128.53,14,3.9,Ceram Sea
1/2/2020,-2.6,128.64,10,3.4,Ceram Sea
1/2/2020,-8.98,123.26,77,2.8,Flores Region - Indonesia
1/2/2020,-3.41,128.35,10,2.2,Seram - Indonesia
1/2/2020,-6.19,127.47,417,4.3,Banda Sea
1/2/2020,-3.03,127.83,22,3.4,Seram - Indonesia
1/2/2020,-2.22,127.87,28,3.1,Ceram Sea
1/2/2020,0.01,122.98,116,3.3,Minahassa Peninsula - Sulawesi
1/2/2020,2.75,128.82,10,4.8,Halmahera - Indonesia
1/2/2020,-5.74,125.05,24,5.5,Banda Sea
1/2/2020,-5.74,125.05,24,5.5,Banda Sea
1/2/2020,-7.85,122.72,253,4.3,Flores Sea
1/2/2020,-6.47,130.31,179,5.0,Banda Sea
1/2/2020,1.55,126.63,11,3.5,Northern Molucca Sea
1/2/2020,-6.43,130.14,198,4.5,Banda Sea
1/2/2020,-8.02,123.94,168,3.8,Flores Region - Indonesia
1/3/2020,4.5,126.2,99,4.8,Talaud Islands - Indonesia
1/3/2020,-8.4,114.84,28,2.9,Bali Region - Indonesia
1/3/2020,-1.82,136.43,26,3.9,Irian Jaya Region - Indonesia
1/3/2020,-10.24,119.17,22,3.4,Sumba Region - Indonesia
1/3/2020,-8.1,107.92,33,3.6,Java - Indonesia
1/3/2020,5.79,125.54,70,4.3,Mindanao - Philippines
1/3/2020,-3.57,128.37,10,2.3,Seram - Indonesia
1/3/2020,-3.57,128.38,13,2.9,Seram - Indonesia
1/3/2020,2.36,128.12,120,4.0,Halmahera - Indonesia
1/3/2020,-3.45,128.07,10,1.7,Seram - Indonesia
1/3/2020,-3.4,128.86,10,3.3,Seram - Indonesia
1/3/2020,-9.21,118.98,61,3.5,Sumbawa Region - Indonesia
1/3/2020,-8.06,107.92,31,3.7,Java - Indonesia
1/3/2020,1.7,99.2,10,3.4,Northern Sumatra - Indonesia
1/3/2020,-6.82,127.49,313,4.1,Banda Sea
1/3/2020,4.64,125.77,126,4.5,Talaud Islands - Indonesia
1/3/2020,4.21,126.91,19,4.2,Talaud Islands - Indonesia
1/3/2020,-9.71,120.48,15,2.4,Sumba Region - Indonesia
1/3/2020,2.87,97.14,30,2.9,Northern Sumatra - Indonesia
1/3/2020,-9.78,120.51,23,2.9,Sumba Region - Indonesia
