tgl,lat,lon,depth,mag,remark
1/1/2015,-0.1,123.48,117,4.2,Minahassa Peninsula - Sulawesi
1/1/2015,-2.22,120.87,17,4.8,Sulawesi - Indonesia
1/1/2015,-2.14,120.67,10,3.5,Sulawesi - Indonesia
1/1/2015,-2.21,120.87,12,4.5,Sulawesi - Indonesia
1/1/2015,-2.17,120.77,10,4.1,Sulawesi - Indonesia
1/1/2015,-9.32,113.33,29,4.2,South of Java - Indonesia
1/1/2015,-2.69,129.36,21,4.3,Seram - Indonesia
1/1/2015,-10.14,113.84,59,4.3,South of Java - Indonesia
1/1/2015,-1.99,120.41,17,3.4,Sulawesi - Indonesia
1/1/2015,-1.88,120.3,24,3.3,Sulawesi - Indonesia
1/2/2015,-0.14,122.89,119,4.8,Minahassa Peninsula - Sulawesi
1/2/2015,2.74,126.77,39,4.9,Northern Molucca Sea
1/2/2015,1.26,123.33,10,4.8,Minahassa Peninsula - Sulawesi
1/2/2015,0.31,98.63,16,3.6,Northern Sumatra - Indonesia
1/2/2015,1.2,97.17,25,4.6,Northern Sumatra - Indonesia
1/2/2015,4.66,125.08,292,4.7,Talaud Islands - Indonesia
1/2/2015,2.47,128.65,20,4.9,Halmahera - Indonesia
1/3/2015,1.2,126.09,10,3.9,Northern Molucca Sea
1/3/2015,3.8,125.6,40,4.5,Talaud Islands - Indonesia
1/3/2015,1.5,97.66,51,2.7,Northern Sumatra - Indonesia
1/3/2015,2.52,94.42,10,4.1,Off West Coast of Northern Sumatra
1/3/2015,-0.11,123.82,101,5.3,Minahassa Peninsula - Sulawesi
1/3/2015,-3.45,130.11,19,3.6,Seram - Indonesia
1/3/2015,1.82,126.54,24,4.1,Northern Molucca Sea
1/3/2015,2.89,127.22,10,4.1,Northern Molucca Sea
1/3/2015,2.55,128.11,125,4.5,Halmahera - Indonesia
1/3/2015,-2.14,120.69,10,3.7,Sulawesi - Indonesia
1/4/2015,1.81,125.97,24,3.7,Northern Molucca Sea
1/4/2015,2.72,95.72,13,4.3,Off West Coast of Northern Sumatra
1/4/2015,-4.65,101.9,51,4.6,Southern Sumatra - Indonesia
1/4/2015,0.74,125.42,16,4.2,Northern Molucca Sea
1/4/2015,-0.09,125.69,10,4.0,Southern Molucca Sea
1/4/2015,-7.86,106.5,10,3.8,Java - Indonesia
1/4/2015,0.9,122.21,82,3.1,Minahassa Peninsula - Sulawesi
1/4/2015,-4.61,134.17,50,4.5,Irian Jaya Region - Indonesia
1/5/2015,-8.88,110.39,53,3.4,Java - Indonesia
1/5/2015,-0.19,122.77,10,3.0,Minahassa Peninsula - Sulawesi
1/5/2015,-3.39,131.16,27,4.6,Irian Jaya Region - Indonesia
1/5/2015,-3.22,131.14,10,4.1,Irian Jaya Region - Indonesia
1/5/2015,-2.02,139.86,11,4.6,Near North Coast of Irian Jaya
1/5/2015,0.56,121.64,62,2.3,Minahassa Peninsula - Sulawesi
1/5/2015,-8.47,111.92,77,3.6,Java - Indonesia
1/5/2015,4.33,126.75,39,4.6,Talaud Islands - Indonesia
1/5/2015,-7.19,130.52,146,4.8,Tanimbar Islands Reg. - Indonesia
1/5/2015,-0.1,123.46,123,4.6,Minahassa Peninsula - Sulawesi
1/5/2015,-6.63,129.87,185,4.8,Banda Sea
1/5/2015,-0.56,100.5,10,3.4,Southern Sumatra - Indonesia
1/5/2015,2.96,122.99,470,5.1,Celebes Sea
1/5/2015,-1.16,128.13,35,3.3,Halmahera - Indonesia
1/5/2015,3.61,124.37,17,4.1,Celebes Sea
1/6/2015,-10.62,120.4,17,3.9,Sumba Region - Indonesia
1/6/2015,1.65,99.4,138,3.5,Northern Sumatra - Indonesia
1/6/2015,-6.71,129.89,155,4.9,Banda Sea
1/6/2015,-6.31,131.69,119,4.7,Tanimbar Islands Reg. - Indonesia
1/6/2015,-4.41,104.6,240,3.8,Southern Sumatra - Indonesia
1/6/2015,-8.2,119.58,18,4.0,Flores Region - Indonesia
1/6/2015,-2.18,125.6,10,4.3,Ceram Sea
1/6/2015,-6.84,129.71,220,4.6,Banda Sea
1/6/2015,0.52,121.33,29,2.7,Minahassa Peninsula - Sulawesi
1/6/2015,3.05,124.38,339,4.8,Celebes Sea
1/6/2015,-1.13,120.77,10,3.8,Sulawesi - Indonesia
1/7/2015,-3.23,128.46,10,3.5,Seram - Indonesia
1/7/2015,-6.6,103.72,10,4.0,Southwest of Sumatra - Indonesia
1/7/2015,-3.02,139.79,22,4.7,Irian Jaya - Indonesia
1/7/2015,2.01,96.66,23,3.2,Northern Sumatra - Indonesia
1/7/2015,-5.09,130.63,126,4.3,Banda Sea
1/7/2015,-3.25,139.67,78,3.1,Irian Jaya - Indonesia
1/7/2015,-0.24,124.68,10,3.6,Southern Molucca Sea
1/8/2015,-9.43,111.67,10,3.7,South of Java - Indonesia
1/8/2015,-9.35,111.71,12,3.7,South of Java - Indonesia
1/8/2015,-8.23,117.61,16,2.6,Sumbawa Region - Indonesia
